segment_id,start_time,end_time,start_seconds,end_seconds,duration,text
1,"00:00:00,040","00:00:01,040",0.04,1.04,1.0,Diese Untertitel sind live produziert.
2,"00:00:01,080","00:00:03,000",1.08,3.0,1.92,Schönen guten Abend und willkommen in unserer Sendung.
3,"00:00:03,040","00:00:06,720",3.04,6.72,3.6799999999999997,"In der wir heute unter anderem der Frage nachgehen wollen, was an"
4,"00:00:06,720","00:00:10,520",6.72,10.52,3.8,unseren Schulen los ist.
5,"00:00:10,560","00:00:14,720",10.56,14.72,4.16,Allein in Berlin rückt die Tag fünfmal pro Tag zu einsetzenden
6,"00:00:14,760","00:00:20,720",14.76,20.72,5.959999999999999,Schulen aus.
7,"00:00:21,000","00:00:24,280",21.0,24.28,3.280000000000001,"Wer glaubt, dass das nur in Millionenschäden vorkommt, der"
8,"00:00:24,280","00:00:29,320",24.28,29.32,5.039999999999999,sollte diese Frau hier zuhören.
9,"00:00:29,360","00:00:32,880",29.36,32.88,3.520000000000003,Sie hat mit einem Brandbrief die Zustände an ihrer Gesamtschule in
10,"00:00:32,880","00:00:34,880",32.88,34.88,2.0,Hannover öffentlich gemacht.
11,"00:00:34,880","00:00:39,960",34.88,39.96,5.079999999999998,900 Schüler aus 40 Nationen.
12,"00:00:39,960","00:00:44,640",39.96,44.64,4.68,Sie spricht von einer zunehmenden Verrohung
13,"00:00:44,640","00:00:52,840",44.64,52.84,8.200000000000003,und das Schüler nicht mehr ausreichend geschützt werden können.
14,"00:00:53,760","00:00:57,200",53.76,57.2,3.440000000000005,"70-80 % haben einen Migrationshintergrund, aber die"
15,"00:00:57,240","00:00:59,240",57.24,59.24,2.0,zunehmenden Probleme
16,"00:00:59,280","00:01:05,440",59.28,65.44,6.159999999999997,betreffen deutsche Kinder ebenso.
17,"00:01:07,840","00:01:11,240",67.84,71.24,3.3999999999999915,Und wir wollen die Bildungsministerin aus Schleswig
18,"00:01:11,280","00:01:16,880",71.28,76.88,5.599999999999994,"-Holstein vertragen,"
19,"00:01:16,880","00:01:21,000",76.88,81.0,4.1200000000000045,"wenn Kinder schon so problematisch aufwachsen, dass der Staat"
20,"00:01:21,040","00:01:23,000",81.03999999999999,83.0,1.960000000000008,"eingreifen muss,"
21,"00:01:23,040","00:01:29,000",83.03999999999999,89.0,5.960000000000008,was können wir tun?
22,"00:01:34,280","00:01:36,560",94.28,96.56,2.280000000000001,"Und durch die Zuwanderung, wenn Kinder aus so unterschiedlichen"
23,"00:01:36,600","00:01:41,120",96.6,101.12,4.52000000000001,"Kulturen aufeinandertreffen, kommt es zu Problemen, da gibt es auch"
24,"00:01:41,120","00:01:44,080",101.12,104.08,2.9599999999999937,Lösungen?
25,"00:01:44,120","00:01:48,520",104.12,108.52000000000001,4.400000000000006,"Und der Blick geht zu diesem Mann, wenn es darum geht, wie die Zukunft"
26,"00:01:48,560","00:01:52,360",108.56,112.36,3.799999999999997,aussieht.
27,"00:01:52,400","00:02:00,920",112.4,120.92,8.519999999999996,"Er hat kürzlich eine Grundschule von 150 Kindern besucht,"
28,"00:02:00,920","00:02:04,440",120.92,124.44,3.519999999999996,"die ihre familiären Wurzeln in mindestens 50 Nationen haben, und 20"
29,"00:02:04,480","00:02:09,760",124.48,129.76,5.279999999999987,verschiedene Sprachen sprechen.
30,"00:02:09,800","00:02:13,920",129.8,133.92,4.119999999999976,"Auf diese super-Diversität ist niemand vorbereitet, sagt er Aladin"
31,"00:02:13,960","00:02:17,280",133.96,137.28,3.319999999999993,El-Mafaalani.
32,"00:02:17,280","00:02:23,280",137.28,143.28,6.0,"Und ein weiterer Gast,"
33,"00:02:26,560","00:02:34,680",146.56,154.68,8.120000000000005,"der Theologie, Psychologie, Philosophie, Medizin studiert hat,"
34,"00:02:39,080","00:02:41,240",159.07999999999998,161.24,2.160000000000025,"er kann uns als Facharzt für Nervenheilkunde nicht nur sagen, wie"
35,"00:02:41,240","00:02:44,640",161.24,164.64,3.3999999999999773,Lehrerinnen und Lehrer möglicherweise besser durch diesen
36,"00:02:44,680","00:02:48,800",164.68,168.8,4.1200000000000045,"neuen deutschen Schulalltag kommen, sondern auch, worauf es bei unseren"
37,"00:02:48,840","00:02:52,040",168.84,172.04,3.1999999999999886,Kindern ankommt. Was übersehen wir da?
38,"00:02:52,080","00:02:58,440",172.07999999999998,178.44,6.360000000000014,Einen schönen guten Abend die Runde.
39,"00:03:05,000","00:03:13,000",185.0,193.0,8.0,"Frau Prien, die CDU möchte das Bürgergeld abschaffen, warum?"
40,"00:03:19,400","00:03:23,440",199.4,203.44,4.039999999999992,KP: Das Wort Bürgergeld ist irreführend.
41,"00:03:23,480","00:03:29,440",203.48,209.44,5.960000000000008,Warum?
42,"00:03:32,960","00:03:40,120",212.96,220.12,7.159999999999997,"Weil es suggeriert, dass jeder Bürger darauf einen Anspruch hat."
43,"00:03:40,160","00:03:47,120",220.16,227.12,6.960000000000008,Aber es soll ja an Bedingungen geknüpft sein.
44,"00:03:48,920","00:03:52,800",228.92000000000002,232.8,3.8799999999999955,"Es ist keine Leistung, die jeder in Anspruch nehmen soll, der das für"
45,"00:03:52,800","00:03:54,800",232.8,234.8,2.0,sich für richtig hält.
46,"00:03:54,840","00:04:01,280",234.84,241.28,6.439999999999998,Das ist die Frage der Symbolkraft des Wortes.
47,"00:04:01,320","00:04:07,960",241.32,247.96,6.640000000000015,Sie nennen es jetzt neue Grundsicherung.
48,"00:04:17,640","00:04:20,880",257.64,260.88,3.240000000000009,"Die Koalition möchte eine Kindergrundsicherung einführen,"
49,"00:04:20,880","00:04:24,440",260.88,264.44,3.5600000000000023,daran orientiert sich der Name.
50,"00:04:24,480","00:04:32,360",264.48,272.36,7.8799999999999955,Dass es aber noch näher an dem Begriff Grundeinkommen dran.
51,"00:04:34,160","00:04:41,560",274.15999999999997,281.56,7.400000000000034,Die Leute sind schlauer als man ein manchmal denkt.
52,"00:04:45,200","00:04:49,240",285.2,289.24,4.0400000000000205,"Die Bürger wollen ja sehen, dass nur die Menschen,"
53,"00:04:49,280","00:04:55,840",289.28,295.84000000000003,6.560000000000059,die es brauchen auch das Geld bekommen.
54,"00:04:58,040","00:05:02,000",298.04,302.0,3.9599999999999795,"Sagen Sie denn, dass wir uns das einfach nicht mehr leisten können"
55,"00:05:02,000","00:05:08,000",302.0,308.0,6.0,mit dem Sozialstaat?
56,"00:05:09,560","00:05:13,160",309.56,313.16,3.6000000000000227,"Wir haben sehr große Ausgaben, innere und äußere Sicherheit, wir"
57,"00:05:13,200","00:05:15,160",313.2,315.16,1.9600000000000364,müssen uns anders aufstellen
58,"00:05:15,200","00:05:20,440",315.2,320.44,5.240000000000009,in Hinblick auf die geopolitische Lage.
59,"00:05:20,480","00:05:27,360",320.48,327.36,6.8799999999999955,Wir müssen auch viel in Bildung investieren.
60,"00:05:30,160","00:05:38,560",330.16,338.56,8.399999999999977,Beim Thema Sozialabbau entdeckt die CDU plötzlich den Klimaschutz?
61,"00:05:39,960","00:05:44,160",339.96,344.15999999999997,4.199999999999989,"Ich würde definitiv sagen, besser in Bildung investieren als in den"
62,"00:05:44,160","00:05:46,160",344.15999999999997,346.15999999999997,2.0,Sozialstaat.
63,"00:05:46,160","00:05:52,160",346.15999999999997,352.15999999999997,6.0,Und Klimaschutz?
64,"00:05:54,760","00:05:58,240",354.76,358.24,3.480000000000018,"Klimaschutz muss immer sozial abgefedert sein, aber wir werden als"
65,"00:05:58,280","00:06:03,600",358.28,363.6,5.32000000000005,Staat nicht darum herumkommen auch in Klimaschutz investieren.
66,"00:06:03,640","00:06:11,200",363.64,371.2,7.560000000000002,"Mehr Infrastruktur, mehr Bildung, weniger Sozialstaat."
67,"00:06:13,800","00:06:21,120",373.8,381.12,7.319999999999993,Wer unwillig ist bekommt die Leistung zu 100 % gestrichen?
68,"00:06:21,160","00:06:28,640",381.16,388.64,7.479999999999961,Das hat das Bundesverfassungsgericht bereits festgestellt.
69,"00:06:28,680","00:06:32,880",388.68,392.88,4.199999999999989,Wer über Monate alle Arbeitsangebote abgelehnt und auf das Jobcenter
70,"00:06:32,920","00:06:35,840",392.92,395.84000000000003,2.920000000000016,"nicht reagiert,"
71,"00:06:35,880","00:06:43,000",395.88,403.0,7.1200000000000045,"der gibt das Signal, dass er das Geld auch nicht braucht."
72,"00:06:43,040","00:06:47,600",403.04,407.6,4.560000000000002,Wir konzentrieren uns in der Debatte zu sehr auf die Totalverweigerer.
73,"00:06:47,640","00:06:52,920",407.64,412.92,5.28000000000003,Es geht um mehr.
74,"00:06:52,960","00:06:57,480",412.96,417.48,4.520000000000039,"Es gibt ja auch eine Zahl, die es Totalverweigerer, das sind 14.000"
75,"00:06:57,480","00:07:03,440",417.48,423.44,5.9599999999999795,Leute.
76,"00:07:04,080","00:07:06,640",424.08,426.64,2.5600000000000023,"Es geht auch darum, wie wir uns als Stadt verstehen, wollen wir Menschen"
77,"00:07:06,680","00:07:12,360",426.68,432.36,5.680000000000007,"helfen, die Hilfe brauchen, oder bekommt es jeder der es haben will?"
78,"00:07:12,400","00:07:16,560",432.4,436.56,4.160000000000025,"Aber wo genau wollen Sie denn eigentlich einsparen, bei 14.000"
79,"00:07:16,600","00:07:21,320",436.6,441.32,4.71999999999997,Leuten?
80,"00:07:21,360","00:07:26,880",441.36,446.88,5.519999999999982,"Es gibt ja auch noch die Menschen, die bei uns zuwandern,"
81,"00:07:26,920","00:07:31,160",446.92,451.16,4.240000000000009,"denen müssen wir auch zeigen, dass jeder der Arbeiten kann auch"
82,"00:07:31,200","00:07:36,800",451.2,456.8,5.600000000000023,arbeiten soll.
83,"00:07:36,840","00:07:44,400",456.84000000000003,464.4,7.559999999999945,Integration funktioniert ja besonders gut über Arbeit.
84,"00:07:45,720","00:07:49,160",465.72,469.15999999999997,3.439999999999941,"Aber warum sagen Sie das eigentlich, wollen sie das rhetorisch"
85,"00:07:49,240","00:07:51,160",469.24,471.15999999999997,1.919999999999959,hauptsächlich etwas erreichen?
86,"00:07:51,200","00:07:58,240",471.2,478.24,7.0400000000000205,An welcher Stelle wollen sie konkret einsparen?
87,"00:07:58,280","00:08:02,160",478.28,482.16,3.8800000000000523,"Es geht auch um Würde, darunter Menschen so schnell wie möglich in"
88,"00:08:02,200","00:08:06,080",482.2,486.08,3.8799999999999955,Arbeit zu bringen.
89,"00:08:06,080","00:08:09,120",486.08,489.12,3.0400000000000205,"Aber wie bekommen Sie die Leute stellen Arbeit, indem sie"
90,"00:08:09,200","00:08:14,600",489.2,494.6,5.400000000000034,Transferleistungen kürzer auszahlen?
91,"00:08:14,680","00:08:18,920",494.68,498.92,4.240000000000009,"Indem wir das Bürgergeld erst mal abschaffen, die Grundsicherung"
